League;Season;Player;Team;GP;MIN;3PM;3PA;FTM;FTA;TOV;REB;AST;STL;BLK;PTS
Euroleague;2019 - 2020;Jonas Jerebko;KHI;28;663.5;36;85;45;55;21;131;48;21;11;313
Euroleague;2019 - 2020;Billy Baron;ZVE;26;639.7;56;139;47;55;31;70;58;21;1;301
Euroleague;2019 - 2020;Georgios Printezis;OLY;25;626.0;13;35;40;58;17;107;37;9;6;297
Euroleague;2019 - 2020;Vladimir Lucic;BAY;26;721.9;26;61;61;72;36;99;38;25;6;295
Euroleague;2019 - 2020;Martin Hermannsson;BER;27;695.8;29;86;43;50;73;43;130;13;1;294
Euroleague;2019 - 2020;Ioannis Papapetrou;PAN;27;753.5;33;90;20;33;15;112;22;19;14;293
Euroleague;2019 - 2020;Kostas Sloukas;FEN;25;726.3;35;83;76;81;66;70;152;22;1;289
Euroleague;2019 - 2020;Darrun Hilliard;CSKA;27;547.6;56;136;43;54;45;66;33;15;3;287
Euroleague;2019 - 2020;Cory Higgins;FCB;23;611.6;30;75;58;71;42;48;63;15;3;286
Euroleague;2019 - 2020;Lukas Lekavicius;ZAL;27;538.0;20;51;50;58;40;36;75;13;1;284
Euroleague;2019 - 2020;Tyler Dorsey;MAC;28;528.4;52;132;43;63;43;68;41;29;4;281
Euroleague;2019 - 2020;Austin Hollins;ZEN;27;615.9;51;147;33;36;32;58;40;37;9;280
Euroleague;2019 - 2020;Tyrese Rice;PAN;28;488.5;41;108;70;75;51;32;78;11;1;279
Euroleague;2019 - 2020;Othello Hunter;MAC;27;629.1;0;4;42;59;26;175;36;14;10;278
Euroleague;2019 - 2020;Will Thomas;ZEN;27;754.1;26;76;44;58;13;105;38;26;4;278
Euroleague;2019 - 2020;Facundo Campazzo;RMB;28;669.1;35;113;80;92;73;63;199;39;0;277
Euroleague;2019 - 2020;Jock Landale;ZAL;25;513.6;19;63;55;67;31;109;24;12;6;276
Euroleague;2019 - 2020;Luke Sikma;BER;28;721.7;29;67;42;60;46;181;127;30;15;271
Euroleague;2019 - 2020;Thomas Walkup;ZAL;28;721.4;28;60;36;42;75;101;154;28;3;270
Euroleague;2019 - 2020;Brandon Davies;FCB;28;562.8;5;13;55;70;56;109;45;31;16;268
Euroleague;2019 - 2020;Tibor Pleiss;EFE;28;525.0;4;16;25;27;26;119;11;14;14;267
Euroleague;2019 - 2020;Malcolm Delaney;FCB;26;584.1;55;128;43;63;59;56;124;17;2;266
Euroleague;2019 - 2020;David Lighty;LYV;27;618.1;28;79;35;43;29;69;46;25;4;265
Euroleague;2019 - 2020;Janis Timma;KHI;21;627.9;60;160;15;22;41;65;41;26;6;263
Euroleague;2019 - 2020;Anthony Randolph;RMB;19;455.0;52;106;36;47;20;82;7;16;4;260
Euroleague;2019 - 2020;Luis Scola;MIL;28;537.8;24;68;38;58;35;122;31;14;2;258
Euroleague;2019 - 2020;Kyle Kuric;FCB;27;523.0;43;97;33;37;18;57;25;19;4;254
Euroleague;2019 - 2020;Maodo Lo;BAY;28;680.4;52;122;23;31;59;54;93;19;1;251
Euroleague;2019 - 2020;Rodrigue Beaubois;EFE;26;551.9;43;108;23;28;27;42;43;24;7;248
Euroleague;2019 - 2020;Vassilis Spanoulis;OLY;22;542.3;34;119;46;57;58;26;102;8;0;248
Euroleague;2019 - 2020;Marcus Eriksson;BER;22;543.1;55;118;26;32;17;43;19;15;5;247
Euroleague;2019 - 2020;Kyle Hines;CSKA;28;654.5;1;3;37;57;34;137;39;18;24;246
Euroleague;2019 - 2020;Niels Giffey;BER;28;528.2;32;67;40;47;29;63;35;23;8;246
Euroleague;2019 - 2020;Shavon Shields;CAJ;26;659.2;28;81;30;35;25;88;25;10;5;246
Euroleague;2019 - 2020;Nikola Milutinov;OLY;24;591.8;0;0;78;102;24;197;29;11;14;246
Euroleague;2019 - 2020;Livio Jean-Charles;LYV;27;570.8;15;48;34;39;30;101;17;11;18;245
Euroleague;2019 - 2020;Landry Nnoko;BER;28;620.2;0;0;54;79;56;163;22;8;19;244
Euroleague;2019 - 2020;Krunoslav Simon;EFE;27;629.8;37;84;18;21;36;104;77;16;5;239
Euroleague;2019 - 2020;Paul Zipser;BAY;28;618.9;25;62;56;70;34;96;33;14;12;237
Euroleague;2019 - 2020;Tonye Jekiri;LYV;27;645.2;0;3;51;77;29;202;35;21;8;235
Euroleague;2019 - 2020;Jordan Mickey;RMB;26;431.2;7;21;46;59;38;108;15;11;26;235
Euroleague;2019 - 2020;Gigi Datome;FEN;28;627.7;44;102;13;14;30;95;36;21;8;233
Euroleague;2019 - 2020;Brandon Paul;OLY;27;530.6;48;126;46;67;27;79;35;22;1;232
Euroleague;2019 - 2020;Edgaras Ulanovas;ZAL;28;723.1;25;68;61;75;35;93;57;12;2;232
Euroleague;2019 - 2020;Kaleb Tarczewski;MIL;28;595.2;0;0;49;73;31;161;11;11;26;227
Euroleague;2019 - 2020;Elijah Bryant;MAC;27;533.7;35;84;9;13;34;77;55;24;3;226
Euroleague;2019 - 2020;Kostas Papanikolaou;OLY;26;621.6;36;92;34;48;49;94;39;36;8;222
Euroleague;2019 - 2020;Chris Singleton;EFE;28;718.4;37;82;48;55;19;123;28;35;12;217
Euroleague;2019 - 2020;Trey Thompkins;RMB;20;398.4;32;66;25;28;19;78;13;9;3;217
Euroleague;2019 - 2020;Johannes Voigtmann;CSKA;28;625.4;41;100;12;21;30;146;43;18;12;215
Euroleague;2019 - 2020;Danilo Barthel;BAY;27;657.5;21;67;36;48;37;104;38;10;3;213
